title,price,release,link
Mechabellum,$6.29,"11 May, 2023",https://store.steampowered.com/app/669330/Mechabellum/?snr=1_7_7_151_150_6
Never Grave: The Witch and The Curse,none,To be announced,https://store.steampowered.com/app/2395770/Never_Grave_The_Witch_and_The_Curse/?snr=1_7_7_151_150_6
Sekiro™: Shadows Die Twice - GOTY Edition,$31.99,"21 Mar, 2019",https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/?snr=1_7_7_151_150_6
Crab Champions,$6.29,"1 Apr, 2023",https://store.steampowered.com/app/774801/Crab_Champions/?snr=1_7_7_151_150_6
Voidtrain,$14.99,"9 May, 2023",https://store.steampowered.com/app/1159690/Voidtrain/?snr=1_7_7_151_150_6
War Robots,Free To Play,"4 Apr, 2018",https://store.steampowered.com/app/767560/War_Robots/?snr=1_7_7_151_150_6
Game Dev Tycoon,$6.29,"29 Aug, 2013",https://store.steampowered.com/app/239820/Game_Dev_Tycoon/?snr=1_7_7_151_150_6
Laysara: Summit Kingdom,none,2023,https://store.steampowered.com/app/1823950/Laysara_Summit_Kingdom/?snr=1_7_7_151_150_6
Stranded: Alien Dawn,$22.99,"25 Apr, 2023",https://store.steampowered.com/app/1324130/Stranded_Alien_Dawn/?snr=1_7_7_151_150_6
Left 4 Dead 2,$6.29,"16 Nov, 2009",https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_151_150_7
Risk of Rain 2,$12.49,"11 Aug, 2020",https://store.steampowered.com/app/632360/Risk_of_Rain_2/?snr=1_7_7_151_150_7
Volcano Princess,$10.99,"20 Apr, 2023",https://store.steampowered.com/app/1669980/Volcano_Princess/?snr=1_7_7_151_150_7
Factorio,$17.00,"14 Aug, 2020",https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_151_150_7
House Flipper,$12.49,"17 May, 2018",https://store.steampowered.com/app/613100/House_Flipper/?snr=1_7_7_151_150_7
Satisfactory,$14.99,"8 Jun, 2020",https://store.steampowered.com/app/526870/Satisfactory/?snr=1_7_7_151_150_7
The Game of Life 2,$7.99,"11 Dec, 2020",https://store.steampowered.com/app/1455630/The_Game_of_Life_2/?snr=1_7_7_151_150_7
Friday the 13th: The Game,$8.49,"25 May, 2017",https://store.steampowered.com/app/438740/Friday_the_13th_The_Game/?snr=1_7_7_151_150_7
The Highrise,none,"29 May, 2023",https://store.steampowered.com/app/1273480/The_Highrise/?snr=1_7_7_151_150_7
Dying Light 2 Stay Human,$34.99,"3 Feb, 2022",https://store.steampowered.com/app/534380/Dying_Light_2_Stay_Human/?snr=1_7_7_151_150_7
ULTRAKILL,$12.49,"3 Sep, 2020",https://store.steampowered.com/app/1229490/ULTRAKILL/?snr=1_7_7_151_150_7
Assetto Corsa Competizione  VR Supported,$29.99,"29 May, 2019",https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione/?snr=1_7_7_151_150_7
Mount & Blade II: Bannerlord,$27.99,"25 Oct, 2022",https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_151_150_7
The Talos Principle 2,none,2023,https://store.steampowered.com/app/835960/The_Talos_Principle_2/?snr=1_7_7_151_150_7
Amnesia: The Bunker,none,"6 Jun, 2023",https://store.steampowered.com/app/1944430/Amnesia_The_Bunker/?snr=1_7_7_151_150_7
SCUM,$18.49,"29 Aug, 2018",https://store.steampowered.com/app/513710/SCUM/?snr=1_7_7_151_150_7
World of Tanks,Free To Play,"28 Apr, 2021",https://store.steampowered.com/app/1407200/World_of_Tanks/?snr=1_7_7_151_150_7
Leaf Blower Revolution - Idle Game,Free To Play,"4 Dec, 2020",https://store.steampowered.com/app/1468260/Leaf_Blower_Revolution__Idle_Game/?snr=1_7_7_151_150_7
Tabletop Simulator  VR Supported,$12.59,"5 Jun, 2015",https://store.steampowered.com/app/286160/Tabletop_Simulator/?snr=1_7_7_151_150_7
Cult of the Lamb,$17.99,"11 Aug, 2022",https://store.steampowered.com/app/1313140/Cult_of_the_Lamb/?snr=1_7_7_151_150_7
Graveyard Keeper - Game Of Crone,discount from $6.29 to $2.20 (65%),"27 Oct, 2020",https://store.steampowered.com/app/1430990/Graveyard_Keeper__Game_Of_Crone/?snr=1_7_7_151_150_7
Happy Game,$5.99,"28 Oct, 2021",https://store.steampowered.com/app/1206060/Happy_Game/?snr=1_7_7_151_150_7
KARDS - The WW2 Card Game,Free To Play,"15 Apr, 2020",https://store.steampowered.com/app/544810/KARDS__The_WW2_Card_Game/?snr=1_7_7_151_150_7
DRAGON BALL FighterZ,discount from $49.99 to $7.99 (84%),"26 Jan, 2018",https://store.steampowered.com/app/678950/DRAGON_BALL_FighterZ/?snr=1_7_7_151_150_7
Fallout 4,$12.99,"9 Nov, 2015",https://store.steampowered.com/app/377160/Fallout_4/?snr=1_7_7_151_150_7
鬼谷八荒 Tale of Immortal,discount from $10.49 to $7.86 (25%),"26 May, 2023",https://store.steampowered.com/app/1468810/_Tale_of_Immortal/?snr=1_7_7_151_150_8
KARDS - The WW2 Card Game,Free To Play,"15 Apr, 2020",https://store.steampowered.com/app/544810/KARDS__The_WW2_Card_Game/?snr=1_7_7_151_150_8
Ghostrunner 2,none,2023,https://store.steampowered.com/app/2144740/Ghostrunner_2/?snr=1_7_7_151_150_8
WWE 2K23,$59.99,"16 Mar, 2023",https://store.steampowered.com/app/1942660/WWE_2K23/?snr=1_7_7_151_150_8
Bread & Fred,discount from $7.87 to $7.08 (10%),"23 May, 2023",https://store.steampowered.com/app/1607680/Bread__Fred/?snr=1_7_7_151_150_8
ARMORED CORE VI FIRES OF RUBICON,$39.99,"24 Aug, 2023",https://store.steampowered.com/app/1888160/ARMORED_CORE_VI_FIRES_OF_RUBICON/?snr=1_7_7_151_150_8
Halo: The Master Chief Collection,$18.49,"3 Dec, 2019",https://store.steampowered.com/app/976730/Halo_The_Master_Chief_Collection/?snr=1_7_7_151_150_8
The Sims™ 4 Dream Home Decorator Game Pack,discount from $19.99 to $13.99 (30%),"1 Jun, 2021",https://store.steampowered.com/app/1458151/The_Sims_4_Dream_Home_Decorator_Game_Pack/?snr=1_7_7_151_150_8
Roots of Pacha,$16.49,"25 Apr, 2023",https://store.steampowered.com/app/1245560/Roots_of_Pacha/?snr=1_7_7_151_150_8
IdleOn - The Idle MMO,Free To Play,"2 Apr, 2021",https://store.steampowered.com/app/1476970/IdleOn__The_Idle_MMO/?snr=1_7_7_151_150_8
"Warhammer 40,000: Battlesector",discount from $18.49 to $10.16 (45%),"22 Jul, 2021",https://store.steampowered.com/app/1295500/Warhammer_40000_Battlesector/?snr=1_7_7_151_150_8
Manor Lords,none,2023,https://store.steampowered.com/app/1363080/Manor_Lords/?snr=1_7_7_151_150_8
